 frequency       v(Aol_dB)       v(Aol_arg)     
 1.00000000e-01  3.13288160e+01  1.79999998e+02 
 1.02305973e-01  3.13288160e+01  1.79999998e+02 
 1.04665121e-01  3.13288160e+01  1.79999998e+02 
 1.07078670e-01  3.13288160e+01  1.79999998e+02 
 1.09547876e-01  3.13288160e+01  1.79999998e+02 
 1.12074020e-01  3.13288160e+01  1.79999998e+02 
 1.14658417e-01  3.13288160e+01  1.79999998e+02 
 1.17302409e-01  3.13288160e+01  1.79999998e+02 
 1.20007371e-01  3.13288160e+01  1.79999998e+02 
 1.22774708e-01  3.13288160e+01  1.79999998e+02 
 1.25605860e-01  3.13288160e+01  1.79999998e+02 
 1.28502297e-01  3.13288160e+01  1.79999997e+02 
 1.31465525e-01  3.13288160e+01  1.79999997e+02 
 1.34497085e-01  3.13288160e+01  1.79999997e+02 
 1.37598551e-01  3.13288160e+01  1.79999997e+02 
 1.40771537e-01  3.13288160e+01  1.79999997e+02 
 1.44017690e-01  3.13288160e+01  1.79999997e+02 
 1.47338699e-01  3.13288160e+01  1.79999997e+02 
 1.50736290e-01  3.13288160e+01  1.79999997e+02 
 1.54212228e-01  3.13288160e+01  1.79999997e+02 
 1.57768320e-01  3.13288160e+01  1.79999997e+02 
 1.61406415e-01  3.13288160e+01  1.79999997e+02 
 1.65128404e-01  3.13288160e+01  1.79999997e+02 
 1.68936220e-01  3.13288160e+01  1.79999997e+02 
 1.72831844e-01  3.13288160e+01  1.79999997e+02 
 1.76817299e-01  3.13288160e+01  1.79999997e+02 
 1.80894658e-01  3.13288160e+01  1.79999996e+02 
 1.85066040e-01  3.13288160e+01  1.79999996e+02 
 1.89333613e-01  3.13288160e+01  1.79999996e+02 
 1.93699595e-01  3.13288160e+01  1.79999996e+02 
 1.98166255e-01  3.13288160e+01  1.79999996e+02 
 2.02735916e-01  3.13288160e+01  1.79999996e+02 
 2.07410951e-01  3.13288160e+01  1.79999996e+02 
 2.12193792e-01  3.13288160e+01  1.79999996e+02 
 2.17086923e-01  3.13288160e+01  1.79999996e+02 
 2.22092889e-01  3.13288160e+01  1.79999996e+02 
 2.27214291e-01  3.13288160e+01  1.79999996e+02 
 2.32453791e-01  3.13288160e+01  1.79999995e+02 
 2.37814113e-01  3.13288160e+01  1.79999995e+02 
 2.43298042e-01  3.13288160e+01  1.79999995e+02 
 2.48908429e-01  3.13288160e+01  1.79999995e+02 
 2.54648190e-01  3.13288160e+01  1.79999995e+02 
 2.60520309e-01  3.13288160e+01  1.79999995e+02 
 2.66527837e-01  3.13288160e+01  1.79999995e+02 
 2.72673897e-01  3.13288160e+01  1.79999995e+02 
 2.78961683e-01  3.13288160e+01  1.79999994e+02 
 2.85394464e-01  3.13288160e+01  1.79999994e+02 
 2.91975583e-01  3.13288160e+01  1.79999994e+02 
 2.98708461e-01  3.13288160e+01  1.79999994e+02 
 3.05596598e-01  3.13288160e+01  1.79999994e+02 
 3.12643573e-01  3.13288160e+01  1.79999994e+02 
 3.19853049e-01  3.13288160e+01  1.79999994e+02 
 3.27228774e-01  3.13288160e+01  1.79999994e+02 
 3.34774581e-01  3.13288160e+01  1.79999993e+02 
 3.42494392e-01  3.13288160e+01  1.79999993e+02 
 3.50392221e-01  3.13288160e+01  1.79999993e+02 
 3.58472171e-01  3.13288160e+01  1.79999993e+02 
 3.66738442e-01  3.13288160e+01  1.79999993e+02 
 3.75195331e-01  3.13288160e+01  1.79999993e+02 
 3.83847234e-01  3.13288160e+01  1.79999992e+02 
 3.92698648e-01  3.13288160e+01  1.79999992e+02 
 4.01754173e-01  3.13288160e+01  1.79999992e+02 
 4.11018515e-01  3.13288160e+01  1.79999992e+02 
 4.20496491e-01  3.13288160e+01  1.79999992e+02 
 4.30193027e-01  3.13288160e+01  1.79999991e+02 
 4.40113162e-01  3.13288160e+01  1.79999991e+02 
 4.50262052e-01  3.13288160e+01  1.79999991e+02 
 4.60644974e-01  3.13288160e+01  1.79999991e+02 
 4.71267322e-01  3.13288160e+01  1.79999991e+02 
 4.82134619e-01  3.13288160e+01  1.79999990e+02 
 4.93252513e-01  3.13288160e+01  1.79999990e+02 
 5.04626783e-01  3.13288160e+01  1.79999990e+02 
 5.16263340e-01  3.13288160e+01  1.79999990e+02 
 5.28168234e-01  3.13288160e+01  1.79999990e+02 
 5.40347650e-01  3.13288160e+01  1.79999989e+02 
 5.52807921e-01  3.13288160e+01  1.79999989e+02 
 5.65555523e-01  3.13288160e+01  1.79999989e+02 
 5.78597080e-01  3.13288160e+01  1.79999989e+02 
 5.91939372e-01  3.13288160e+01  1.79999988e+02 
 6.05589334e-01  3.13288160e+01  1.79999988e+02 
 6.19554061e-01  3.13288160e+01  1.79999988e+02 
 6.33840810e-01  3.13288160e+01  1.79999987e+02 
 6.48457008e-01  3.13288160e+01  1.79999987e+02 
 6.63410251e-01  3.13288160e+01  1.79999987e+02 
 6.78708313e-01  3.13288160e+01  1.79999987e+02 
 6.94359143e-01  3.13288160e+01  1.79999986e+02 
 7.10370877e-01  3.13288160e+01  1.79999986e+02 
 7.26751838e-01  3.13288160e+01  1.79999986e+02 
 7.43510539e-01  3.13288160e+01  1.79999985e+02 
 7.60655691e-01  3.13288160e+01  1.79999985e+02 
 7.78196206e-01  3.13288160e+01  1.79999985e+02 
 7.96141200e-01  3.13288160e+01  1.79999984e+02 
 8.14500001e-01  3.13288160e+01  1.79999984e+02 
 8.33282151e-01  3.13288160e+01  1.79999984e+02 
 8.52497412e-01  3.13288160e+01  1.79999983e+02 
 8.72155772e-01  3.13288160e+01  1.79999983e+02 
 8.92267449e-01  3.13288160e+01  1.79999982e+02 
 9.12842895e-01  3.13288160e+01  1.79999982e+02 
 9.33892805e-01  3.13288160e+01  1.79999982e+02 
 9.55428121e-01  3.13288160e+01  1.79999981e+02 
 9.77460036e-01  3.13288160e+01  1.79999981e+02 
 1.00000000e+00  3.13288160e+01  1.79999980e+02 
 1.02305973e+00  3.13288160e+01  1.79999980e+02 
 1.04665121e+00  3.13288160e+01  1.79999979e+02 
 1.07078670e+00  3.13288160e+01  1.79999979e+02 
