 time            v(vin)          v(vout)        
 0.00000000e+00  7.50000000e-01  5.37180487e-01 
 1.00000000e-08  7.50000628e-01  5.37176941e-01 
 2.00000000e-08  7.50001257e-01  5.37170371e-01 
 4.00000000e-08  7.50002513e-01  5.37151277e-01 
 8.00000000e-08  7.50005027e-01  5.37093211e-01 
 1.60000000e-07  7.50010053e-01  5.36936382e-01 
 3.20000000e-07  7.50020106e-01  5.36574984e-01 
 6.40000000e-07  7.50040212e-01  5.35831026e-01 
 1.28000000e-06  7.50080424e-01  5.34353125e-01 
 2.28000000e-06  7.50143252e-01  5.32060170e-01 
 3.28000000e-06  7.50206074e-01  5.29781232e-01 
 4.28000000e-06  7.50268888e-01  5.27516128e-01 
 5.28000000e-06  7.50331691e-01  5.25265181e-01 
 6.28000000e-06  7.50394482e-01  5.23028619e-01 
 7.28000000e-06  7.50457256e-01  5.20806645e-01 
 8.28000000e-06  7.50520013e-01  5.18599458e-01 
 9.28000000e-06  7.50582749e-01  5.16407255e-01 
 1.02800000e-05  7.50645462e-01  5.14230227e-01 
 1.12800000e-05  7.50708150e-01  5.12068564e-01 
 1.22800000e-05  7.50770810e-01  5.09922448e-01 
 1.32800000e-05  7.50833439e-01  5.07792059e-01 
 1.42800000e-05  7.50896035e-01  5.05677571e-01 
 1.52800000e-05  7.50958597e-01  5.03579153e-01 
 1.62800000e-05  7.51021120e-01  5.01496970e-01 
 1.72800000e-05  7.51083603e-01  4.99431178e-01 
 1.82800000e-05  7.51146043e-01  4.97381932e-01 
 1.92800000e-05  7.51208437e-01  4.95349377e-01 
 2.02800000e-05  7.51270785e-01  4.93333654e-01 
 2.12800000e-05  7.51333082e-01  4.91334897e-01 
 2.22800000e-05  7.51395326e-01  4.89353233e-01 
 2.32800000e-05  7.51457515e-01  4.87388783e-01 
 2.42800000e-05  7.51519647e-01  4.85441660e-01 
 2.52800000e-05  7.51581719e-01  4.83511972e-01 
 2.62800000e-05  7.51643728e-01  4.81599816e-01 
 2.72800000e-05  7.51705672e-01  4.79705284e-01 
 2.82800000e-05  7.51767549e-01  4.77828460e-01 
 2.92800000e-05  7.51829356e-01  4.75969421e-01 
 3.02800000e-05  7.51891092e-01  4.74128234e-01 
 3.12800000e-05  7.51952752e-01  4.72304959e-01 
 3.22800000e-05  7.52014335e-01  4.70499649e-01 
 3.32800000e-05  7.52075839e-01  4.68712348e-01 
 3.42800000e-05  7.52137261e-01  4.66943090e-01 
 3.52800000e-05  7.52198598e-01  4.65191905e-01 
 3.62800000e-05  7.52259849e-01  4.63458810e-01 
 3.72800000e-05  7.52321010e-01  4.61743816e-01 
 3.82800000e-05  7.52382080e-01  4.60046927e-01 
 3.92800000e-05  7.52443056e-01  4.58368138e-01 
 4.02800000e-05  7.52503935e-01  4.56707433e-01 
 4.12800000e-05  7.52564716e-01  4.55064793e-01 
 4.22800000e-05  7.52625395e-01  4.53440186e-01 
